,chart_week,list_position,track_id,name_x,duration_ms,release_date,album_type,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_id,name_y,popularity,followers
78,2021-08-21,18,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
79,2021-09-04,20,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
80,2020-02-01,21,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
81,2021-08-28,21,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
82,2021-06-05,22,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
83,2021-05-29,23,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
84,2020-01-25,32,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
85,2020-01-18,39,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
86,2019-12-21,52,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
87,2020-01-11,59,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
88,2019-12-28,63,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
89,2020-01-04,72,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
90,2023-06-17,3,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),239317,2022-08-25,single,False,0.801,0.806,11.0,-5.206,1.0,0.0381,0.382,0.000669,0.114,0.802,106.999,4.0,46pWGuE3dSwY3bMMXGBvVS,Rema,79,5470668
